id_partida,data_utc,data,hora_utc,rodada,status,fase,id_mandante,mandante,id_visitante,visitante,gols_mandante,gols_visitante,resultado,vencedor,saldo_gols_mandante,foi_finalizado
535097,2025-07-27T00:00:00Z,2025-07-27,00:00,17,FINISHED,REGULAR_SEASON,1769,SE Palmeiras,1767,Grêmio FBPA,1.0,0.0,H,Mandante,1.0,True
535098,2025-07-27T19:00:00Z,2025-07-27,19:00,17,FINISHED,REGULAR_SEASON,1776,São Paulo FC,1765,Fluminense FC,3.0,1.0,H,Mandante,2.0,True
535100,2025-07-27T19:00:00Z,2025-07-27,19:00,17,FINISHED,REGULAR_SEASON,1771,Cruzeiro EC,1837,Ceará SC,1.0,2.0,A,Visitante,-1.0,True
535101,2025-07-27T21:30:00Z,2025-07-27,21:30,17,FINISHED,REGULAR_SEASON,6684,SC Internacional,1780,CR Vasco da Gama,1.0,1.0,D,Empate,0.0,True
535102,2025-07-27T21:30:00Z,2025-07-27,21:30,17,FINISHED,REGULAR_SEASON,1777,EC Bahia,4245,EC Juventude,3.0,0.0,H,Mandante,3.0,True
535095,2025-07-27T23:30:00Z,2025-07-27,23:30,17,FINISHED,REGULAR_SEASON,1783,CR Flamengo,1766,CA Mineiro,1.0,0.0,H,Mandante,1.0,True
535071,2025-07-29T23:30:00Z,2025-07-29,23:30,14,FINISHED,REGULAR_SEASON,1767,Grêmio FBPA,3984,Fortaleza EC,2.0,1.0,H,Mandante,1.0,True
535114,2025-08-02T19:00:00Z,2025-08-02,19:00,18,FINISHED,REGULAR_SEASON,1778,SC Recife,1777,EC Bahia,0.0,0.0,D,Empate,0.0,True
535109,2025-08-02T21:30:00Z,2025-08-02,21:30,18,FINISHED,REGULAR_SEASON,4364,Mirassol FC,1780,CR Vasco da Gama,3.0,2.0,H,Mandante,1.0,True
535105,2025-08-03T00:00:00Z,2025-08-03,00:00,18,FINISHED,REGULAR_SEASON,1765,Fluminense FC,1767,Grêmio FBPA,1.0,0.0,H,Mandante,1.0,True
535106,2025-08-03T19:00:00Z,2025-08-03,19:00,18,FINISHED,REGULAR_SEASON,1770,Botafogo FR,1771,Cruzeiro EC,0.0,2.0,A,Visitante,-2.0,True
535107,2025-08-03T19:00:00Z,2025-08-03,19:00,18,FINISHED,REGULAR_SEASON,1779,SC Corinthians Paulista,3984,Fortaleza EC,1.0,1.0,D,Empate,0.0,True
535110,2025-08-03T21:30:00Z,2025-08-03,21:30,18,FINISHED,REGULAR_SEASON,1766,CA Mineiro,4286,RB Bragantino,2.0,1.0,H,Mandante,1.0,True
535113,2025-08-03T21:30:00Z,2025-08-03,21:30,18,FINISHED,REGULAR_SEASON,1837,Ceará SC,1783,CR Flamengo,1.0,1.0,D,Empate,0.0,True
535112,2025-08-03T22:30:00Z,2025-08-03,22:30,18,FINISHED,REGULAR_SEASON,1782,EC Vitória,1769,SE Palmeiras,2.0,2.0,D,Empate,0.0,True
535111,2025-08-03T23:30:00Z,2025-08-03,23:30,18,FINISHED,REGULAR_SEASON,6684,SC Internacional,1776,São Paulo FC,1.0,2.0,A,Visitante,-1.0,True
535108,2025-08-04T23:00:00Z,2025-08-04,23:00,18,FINISHED,REGULAR_SEASON,6685,Santos FC,4245,EC Juventude,3.0,1.0,H,Mandante,2.0,True
535115,2025-08-09T21:30:00Z,2025-08-09,21:30,19,FINISHED,REGULAR_SEASON,1783,CR Flamengo,4364,Mirassol FC,2.0,1.0,H,Mandante,1.0,True
535118,2025-08-09T21:30:00Z,2025-08-09,21:30,19,FINISHED,REGULAR_SEASON,1776,São Paulo FC,1782,EC Vitória,2.0,0.0,H,Mandante,2.0,True
535119,2025-08-09T21:30:00Z,2025-08-09,21:30,19,FINISHED,REGULAR_SEASON,4286,RB Bragantino,6684,SC Internacional,1.0,3.0,A,Visitante,-2.0,True
535123,2025-08-09T23:30:00Z,2025-08-09,23:30,19,FINISHED,REGULAR_SEASON,3984,Fortaleza EC,1770,Botafogo FR,0.0,5.0,A,Visitante,-5.0,True
535122,2025-08-10T00:00:00Z,2025-08-10,00:00,19,FINISHED,REGULAR_SEASON,1777,EC Bahia,1765,Fluminense FC,3.0,3.0,D,Empate,0.0,True
535116,2025-08-10T19:00:00Z,2025-08-10,19:00,19,FINISHED,REGULAR_SEASON,1780,CR Vasco da Gama,1766,CA Mineiro,1.0,1.0,D,Empate,0.0,True
535117,2025-08-10T19:00:00Z,2025-08-10,19:00,19,FINISHED,REGULAR_SEASON,1769,SE Palmeiras,1837,Ceará SC,2.0,1.0,H,Mandante,1.0,True
535120,2025-08-10T21:30:00Z,2025-08-10,21:30,19,FINISHED,REGULAR_SEASON,1771,Cruzeiro EC,6685,Santos FC,1.0,2.0,A,Visitante,-1.0,True
535121,2025-08-10T23:30:00Z,2025-08-10,23:30,19,FINISHED,REGULAR_SEASON,1767,Grêmio FBPA,1778,SC Recife,0.0,1.0,A,Visitante,-1.0,True
535124,2025-08-11T23:00:00Z,2025-08-11,23:00,19,FINISHED,REGULAR_SEASON,4245,EC Juventude,1779,SC Corinthians Paulista,2.0,1.0,H,Mandante,1.0,True
535125,2025-08-16T19:00:00Z,2025-08-16,19:00,20,FINISHED,REGULAR_SEASON,1765,Fluminense FC,3984,Fortaleza EC,2.0,1.0,H,Mandante,1.0,True
535133,2025-08-16T19:00:00Z,2025-08-16,19:00,20,FINISHED,REGULAR_SEASON,1837,Ceará SC,4286,RB Bragantino,1.0,0.0,H,Mandante,1.0,True
535132,2025-08-16T21:30:00Z,2025-08-16,21:30,20,FINISHED,REGULAR_SEASON,1782,EC Vitória,4245,EC Juventude,2.0,2.0,D,Empate,0.0,True
535134,2025-08-16T21:30:00Z,2025-08-16,21:30,20,FINISHED,REGULAR_SEASON,1778,SC Recife,1776,São Paulo FC,2.0,2.0,D,Empate,0.0,True
535127,2025-08-17T00:00:00Z,2025-08-17,00:00,20,FINISHED,REGULAR_SEASON,1779,SC Corinthians Paulista,1777,EC Bahia,1.0,2.0,A,Visitante,-1.0,True
535128,2025-08-17T19:00:00Z,2025-08-17,19:00,20,FINISHED,REGULAR_SEASON,6685,Santos FC,1780,CR Vasco da Gama,0.0,6.0,A,Visitante,-6.0,True
535130,2025-08-17T19:00:00Z,2025-08-17,19:00,20,FINISHED,REGULAR_SEASON,1766,CA Mineiro,1767,Grêmio FBPA,1.0,3.0,A,Visitante,-2.0,True
